"Suburb","AddressLine","Classification","NumberOfBedrooms","Price","OutcomeDate","Outcome","Agent","WebUrl"
"Glen Waverley","3 Short St","house",5,2150888.0,"2016-08-09","private sale","Barry Plant","http://www.realestateview.com.au/real-estate/3-short-street-glen-waverley-vic/property-details-sold-residential-10339200/"
"Glen Waverley","21 Elmwood Cr","house",3,888888.0,"2016-08-06","sold before auction","Harcourts Judd White",""
"Glen Waverley","3/ 15 Jordan Gr","unit",2,"","2016-08-20","auction sale","Jellis Craig",""
"Glen Waverley","14A Lindwall St","house",4,"","2016-08-20","passed in at auction","Ray White Glen Waverley","http://www.realestateview.com.au/real-estate/14a-lindwall-street-glen-waverley-vic/property-details-buy-residential-10391663/"
"Glen Waverley","104 Watsons Rd","house",5,"","2016-08-20","passed in at auction","Barry Plant","http://www.realestateview.com.au/real-estate/104-watsons-road-glen-waverley-vic/property-details-buy-residential-10369066/"
"Glen Waverley","2 Falconer St","house",4,"","2016-08-01","private sale","hockingstuart","http://www.realestateview.com.au/real-estate/2-falconer-street-glen-waverley-vic/property-details-sold-residential-10249296/"
"Glenroy","1/ 30-32 Grandview St","townhouse",4,710000.0,"2016-08-20","auction sale","Nelson Alexander","http://www.realestateview.com.au/real-estate/1-30-32-grandview-street-glenroy-vic/property-details-buy-residential-10371290/"
"Glenroy","2/ 27 Morley St","unit",2,460000.0,"2016-08-20","auction sale","Barry Plant","http://www.realestateview.com.au/real-estate/2-27-morley-street-glenroy-vic/property-details-buy-residential-10374713/"
"Glenroy","55 Paget Av","house",3,582000.0,"2016-08-20","auction sale","Nelson Alexander","http://www.realestateview.com.au/real-estate/55-paget-avenue-glenroy-vic/property-details-buy-residential-10381985/"
"Glenroy","5/ 77 Chapman Av","apartment",2,288000.0,"2016-08-16","private sale","Barry Plant","http://www.realestateview.com.au/real-estate/5-77-chapman-avenue-glenroy-vic/property-details-sold-residential-10414506/"
"Glenroy","1/ 7 Harold St","townhouse",3,550000.0,"2016-08-09","sold before auction","Stockdale & Leggo Glenroy","http://www.realestateview.com.au/real-estate/1-7-harold-street-glenroy-vic/property-details-sold-residential-10382032/"
"Gnarwarre","1690 Barrabool Rd","house",0,740000.0,"2016-07-29","private sale","Buxton",""
"Gowanbrae","1 Bluebell Cr","house",4,600000.0,"2016-08-20","passed in at auction","Nelson Alexander","http://www.realestateview.com.au/real-estate/1-bluebell-crescent-gowanbrae-vic/property-details-buy-residential-10393379/"
"Greensborough","3/ 69 Alexandra St","unit",2,490000.0,"2016-08-20","auction sale","Buckingham & Co","http://www.realestateview.com.au/real-estate/3-69-alexandra-street-greensborough-vic/property-details-buy-residential-10379594/"
