"Suburb","AddressLine","Classification","NumberOfBedrooms","Price","OutcomeDate","Outcome","Agent","WebUrl"
"Heidelberg Heights","6 Dennis St","house",2,692000.0,"2018-07-30","private sale","Miles RE","https://www.realestateview.com.au/real-estate/6-dennis-street-heidelberg-heights-vic/property-details-sold-residential-11903729/"
"Highett","34A Gilarth St","house",4,1400000.0,"2018-08-04","passed in vendor bid","Buxton","https://www.realestateview.com.au/real-estate/34a-gilarth-street-highett-vic/property-details-buy-residential-11974922/"
"Highett","32 Miller St","house",4,2041000.0,"2018-08-04","auction sale","Hodges","https://www.realestateview.com.au/real-estate/32-miller-street-highett-vic/property-details-buy-residential-11973755/"
"Highett","28 Turner Rd","house",3,1100000.0,"2018-08-04","passed in at auction","Nick Johnstone Real Estate","https://www.realestateview.com.au/real-estate/28-turner-road-highett-vic/property-details-buy-residential-11977328/"
"Highett","26 Nicol St","house",3,,"2018-07-27","sold before auction","Buxton","https://www.realestateview.com.au/real-estate/26-nicol-street-highett-vic/property-details-sold-residential-11977547/"
"Highton","5 Cedmar Av","house",4,,"2018-08-04","passed in at auction","Buxton",""
"Hillside","Lot 417 Creekside Cirt","land",0,320000.0,"2018-07-21","private sale","Barry Plant",""
"Hillside","9 Celendine Pl","house",3,,"2018-08-04","auction sale","Nelson Alexander","https://www.realestateview.com.au/real-estate/9-celendine-place-hillside-vic/property-details-sold-residential-11970452/"
"Hoppers Crossing","13 Shearer Cl","house",3,585000.0,"2018-08-04","auction sale","Barry Plant",""
"Hoppers Crossing","2 Quarrion Ct","house",3,490000.0,"2018-07-30","private sale","Triwest RE - Professionals","https://www.realestateview.com.au/real-estate/2-quarrion-court-hoppers-crossing-vic/property-details-sold-residential-11961418/"
"Hoppers Crossing","6 Bluebell Ct","house",4,660000.0,"2018-07-26","sold before auction","Barry Plant",""
"Hoppers Crossing","12 Bourke Cr","house",3,,"2018-08-04","passed in at auction","hockingstuart",""
"Hoppers Crossing","10 George Greeves Pl","house",3,,"2018-08-04","passed in at auction","Benlor Real Estate",""
"Hoppers Crossing","1 Hyslop St","house",3,,"2018-08-04","passed in at auction","Benlor Real Estate",""
"Hoppers Crossing","1 Landor Cl","house",3,,"2018-08-04","passed in at auction","hockingstuart",""
"Hughesdale","6/19-21 Willesden Rd","apartment",2,400000.0,"2018-08-04","passed in vendor bid","Ray White Carnegie","https://www.realestateview.com.au/real-estate/6-19-21-willesden-road-hughesdale-vic/property-details-buy-residential-11761001/"
"Hughesdale","103/175 Kangaroo Rd","flat",2,442000.0,"2018-08-02","private sale","McGrath Waverley",""
"Inverleigh","88 Bourkes Rd","lifestyle property",4,850000.0,"2018-08-04","passed in vendor bid","Elders Geelong",""
"Invermay Park","3/20 Falcon Dr","townhouse",3,350000.0,"2018-07-31","private sale","Ballarat Real Estate Pty Ltd","https://www.realestateview.com.au/real-estate/3-20-falcon-drive-invermay-park-vic/property-details-buy-residential-11982957/"
"Ivanhoe","76 Bond St","house",4,1150000.0,"2018-07-30","private sale","Hudson Bond Doncaster",""
"Ivanhoe","2/117 Beatty St","townhouse",3,1150000.0,"2018-07-23","private sale","Miles RE","https://www.realestateview.com.au/real-estate/2-117-beatty-street-ivanhoe-vic/property-details-sold-residential-11695483/"
"Jan Juc","1 Hoylake Av","house",2,680000.0,"2018-08-04","auction sale","Hayden Torquay",""
"Kealba","65 Rowan Dr","house",3,765000.0,"2018-08-04","auction sale","alexkarbon",""
"Kealba","39 Driscolls Rd","unit",3,555000.0,"2018-07-30","private sale","Barry Plant","https://www.realestateview.com.au/real-estate/39-driscolls-road-kealba-vic/property-details-sold-residential-11958332/"
"Kealba","19 Rowan Dr","house",3,,"2018-08-01","private sale","Brad Teal","https://www.realestateview.com.au/real-estate/19-rowan-drive-kealba-vic/property-details-sold-residential-11824394/"
"Keilor","8 Tarwin Ct","house",4,800000.0,"2018-07-25","sold before auction","Brad Teal","https://www.realestateview.com.au/real-estate/8-tarwin-court-keilor-vic/property-details-sold-residential-11973525/"
