"Suburb","AddressLine","Classification","NumberOfBedrooms","Price","OutcomeDate","Outcome","Agent","WebUrl"
"Moonee Ponds","1 Jennings St","house",4,"","2016-11-19","passed in vendor bid","Brad Teal","http://www.realestateview.com.au/real-estate/1-jennings-street-moonee-ponds-vic/property-details-buy-residential-10585705/"
"Moorabbin","1/ 17 Baker St","unit",2,639000.0,"2016-11-19","auction sale","Buxton","http://www.realestateview.com.au/real-estate/1-17-baker-street-moorabbin-vic/property-details-buy-residential-10599156/"
"Moorabbin","2/ 1 Barbara St","unit",2,605000.0,"2016-11-19","auction sale","Ray White Carnegie","http://www.realestateview.com.au/real-estate/2-1-barbara-street-moorabbin-vic/property-details-buy-residential-10599333/"
"Moorabbin","1 Rhonda Ct","house",3,960000.0,"2016-11-19","auction sale","Ray White Oakleigh","http://www.realestateview.com.au/real-estate/1-rhonda-court-moorabbin-vic/property-details-buy-residential-10585062/"
"Mooroolbark","4 Arkarra Ct","house",3,620000.0,"2016-11-14","private sale","Ray White Croydon","http://www.realestateview.com.au/real-estate/4-arkarra-court-mooroolbark-vic/property-details-sold-residential-10550609/"
"Mooroolbark","4 High Tor","house",5,1055000.0,"2016-11-10","private sale","Mcgrath Croydon",""
"Mooroolbark","7 Ricky Ct","house",3,511501.0,"2016-11-10","private sale","Professionals Methven Mount Evelyn","http://www.realestateview.com.au/real-estate/7-ricky-court-mooroolbark-vic/property-details-buy-residential-10600633/"
"Mooroolbark","16 Brack Ct","house",4,625000.0,"2016-11-03","private sale","Barry Plant","http://www.realestateview.com.au/real-estate/16-brack-court-mooroolbark-vic/property-details-buy-residential-10604425/"
"Mooroolbark","77 Woodville Rd","house",5,"","2016-11-08","private sale","Philip Webb","http://www.realestateview.com.au/real-estate/77-woodville-road-mooroolbark-vic/property-details-sold-residential-10618359/"
"Mordialloc","6/ 4-6 Edith St","unit",2,624000.0,"2016-11-19","auction sale","O'Brien Real Estate Frankston",""
"Mordialloc","10/ 1-3 James St","unit",2,622000.0,"2016-11-19","auction sale","hockingstuart","http://www.realestateview.com.au/real-estate/10-1-3-james-street-mordialloc-vic/property-details-buy-residential-10596715/"
"Mordialloc","4 Jarman St","house",4,1150000.0,"2016-11-19","auction sale","Ray White Mordialloc","http://www.realestateview.com.au/real-estate/4-jarman-street-mordialloc-vic/property-details-buy-residential-10569141/"
"Mordialloc","1/ 21 Ormond St","unit",2,600000.0,"2016-11-19","auction sale","Hodges","http://www.realestateview.com.au/real-estate/1-21-ormond-street-mordialloc-vic/property-details-buy-residential-10603268/"
"Mordialloc","2 Warren Rd","house",3,860000.0,"2016-11-19","auction sale","Greg Hocking Poulios","http://www.realestateview.com.au/real-estate/2-warren-road-mordialloc-vic/property-details-buy-residential-10600792/"
"Mornington","679 Esplanade","house",3,1650000.0,"2016-11-19","passed in vendor bid","Honor Baxter RE",""
"Mornington","5 Incana La","house",3,602000.0,"2016-11-19","auction sale","Raine & Horne Rosebud",""
"Mornington","65 Jacaranda Cr","house",3,660000.0,"2016-11-19","passed in vendor bid","McEwing Partners","http://www.realestateview.com.au/real-estate/65-jacaranda-crescent-mornington-vic/property-details-buy-residential-10611347/"
"Mornington","23 Morven St","house",3,1143000.0,"2016-11-19","auction sale","McEwing Partners","http://www.realestateview.com.au/real-estate/23-morven-street-mornington-vic/property-details-buy-residential-10580378/"
"Mornington","34 Nunns Rd","house",3,900000.0,"2016-11-19","passed in vendor bid","Harcourts Mornington",""
"Mornington","2/ 3 Pitt St","house",3,690000.0,"2016-11-16","sold before auction","Harcourts Mornington",""
"Mornington","13 Neptune St","house",0,1137500.0,"2016-11-11","private sale","Warlimont & Nutt","http://www.realestateview.com.au/real-estate/13-neptune-street-mornington-vic/property-details-sold-residential-10611443/"
"Mornington","1/ 6 Iluka Pl","townhouse",4,995000.0,"2016-10-31","private sale","Nicholas Lynch Pty Ltd","http://www.realestateview.com.au/real-estate/1-6-iluka-place-mornington-vic/property-details-sold-residential-10444279/"
"Mornington","Lot 1/ 28 Sunningdale Av","townhouse",3,"","2016-11-07","private sale","hockingstuart",""
"Morwell","91 Vary St","house",3,105000.0,"2016-11-19","auction sale","Stockdale & Leggo Latrobe Valley","http://www.realestateview.com.au/real-estate/91-vary-street-morwell-vic/property-details-buy-residential-10585438/"
"Morwell","1/ 27 Elgin St","unit",2,180000.0,"2016-11-08","private sale","Stockdale & Leggo Latrobe Valley","http://www.realestateview.com.au/real-estate/1-27-elgin-street-morwell-vic/property-details-buy-residential-10554255/"
"Morwell","9 Joy St","house",4,187000.0,"2016-10-31","private sale","Stockdale & Leggo Latrobe Valley","http://www.realestateview.com.au/real-estate/9-joy-street-morwell-vic/property-details-sold-residential-10516639/"
"Morwell","17 Fleming St","house",2,118500.0,"2016-10-20","private sale","Stockdale & Leggo Latrobe Valley","http://www.realestateview.com.au/real-estate/17-fleming-street-morwell-vic/property-details-sold-residential-10447006/"
"Mount Clear","Lot 2 Recreation Rd","land",0,112500.0,"2016-11-17","private sale","Trevor Petrie RE","http://www.realestateview.com.au/real-estate/lot-2-recreation-road-mount-clear-vic/property-details-buy-residential-9505502/"
"Mount Clear","8 The Gums","house",0,349000.0,"2016-10-28","private sale","Harcourts Ballarat","http://www.realestateview.com.au/real-estate/8-the-gums-mount-clear-vic/property-details-sold-residential-10376808/"
"Mount Eliza","18 Redbourne Av","house",3,920000.0,"2016-11-18","private sale","Point2 Real Estate","http://www.realestateview.com.au/real-estate/18-redbourne-avenue-mount-eliza-vic/property-details-sold-residential-10608119/"
"Mount Eliza","18 Walkers Rd","house",4,850000.0,"2016-11-03","private sale","hockingstuart","http://www.realestateview.com.au/real-estate/18-walkers-road-mount-eliza-vic/property-details-sold-residential-10602688/"
"Mount Eliza","14 Burnell St","house",3,860000.0,"2016-10-31","sold before auction","Community Real Estate","http://www.realestateview.com.au/real-estate/14-burnell-street-mount-eliza-vic/property-details-buy-residential-10589103/"
"Mount Evelyn","3/ 23 York Rd","unit",2,400400.0,"2016-11-08","private sale","Philip Webb","http://www.realestateview.com.au/real-estate/3-23-york-road-mount-evelyn-vic/property-details-sold-residential-10622090/"
"Mount Evelyn","32 Marcus St","house",3,587000.0,"2016-11-02","private sale","Barry Plant","http://www.realestateview.com.au/real-estate/32-marcus-street-mount-evelyn-vic/property-details-buy-residential-10604428/"
